wmo_id;name;lat;lon;alt;country_alpha2;name_rus;name_eng;additional_name
20026;О.Виктория;80.15;36.75;9;RU;О.Виктория;O.Viktoriya;Виктория Остров
20046;ГМО им. Э.Т.Кренкеля;80.62;58.05;21;RU;ГМО им. Э.Т.Кренкеля;Polargmo im.E.T.Krenkelja;Остров Хейса, Обсерватория им. Кренкеля
20049;О. Рудольфа;81.8;57.96;46;RU;О. Рудольфа;O.Rudolfa;Тихая Бухта
20066;О.Ушакова;80.81;79.25;51;RU;О.Ушакова;O.Ushakova;Ушакова Остров
20069;О.Визе;79.49;76.98;9;RU;О.Визе;Ostrov Vize;Остров Визе
20087;О.Голомянный;79.55;90.57;7;RU;О.Голомянный;Ostrov Golomjanny;Остров Голомянный
20097;Мыс Песчаный;79.43;102.48;4;RU;Мыс Песчаный;Mys Peschany;Мыс Песчаный
20107;Баренцбург;78.05;14.22;73;RU;Баренцбург;Barencburg;Баренцбург
20199;О.Малый Таймыр;78.08;106.81;8;RU;О.Малый Таймыр;O.Maly Taimyr;Малый Таймыр остров
20274;О.Уединения;77.5;82.2;23;RU;О.Уединения;Ostrov Uedineniya;Остров Уединения
20277;О.Исаченко;77.15;89.2;5;RU;О.Исаченко;O.Isachenko;Исаченко Остров
20289;О.Русский;77.16;96.43;9;RU;О.Русский;Russky;Русский Остров
20291;Бухта Солнечная;78.2;103.26;27;RU;Бухта Солнечная;Bukhta Solnechnaya;Солнечная Бухта
20292;Мыс Челюскин;77.71;104.29;12;RU;Мыс Челюскин;Mys Cheluskin;Обсерватория Федорова Мыс Челюскин
20353;Мыс Желания;76.95;68.55;8;RU;Мыс Желания;Mys Zhelaniya;Мыс Желания
20357;Русская Гавань;76.18;62.58;9;RU;Русская Гавань;Russkaya Gavan;Русская Гавань
20388;О.Правды;76.26;94.76;10;RU;О.Правды;O.Pravdy;Правды Остров
20471;О-ва Известий;75.95;82.94;11;RU;О-ва Известий;O-va Izvestii;Тройной Остров Остров Известий
20476;Мыс Стерлигова;75.4;88.91;10;RU;Мыс Стерлигова;Mys Sterligova;Мыс Стерлегова
20665;Вилькицкого АМС;73.51;75.76;4;RU;Вилькицкого АМС;Vilkitskogo AMS;Вилькицкого Остров
20667;Им.М.В.Попова;73.33;70.06;4;RU;Им.М.В.Попова;Im. M.V.Popova;Имени Попова
20674;О.Диксон;73.51;80.4;42;RU;О.Диксон;Ostrov Dikson;Остров Диксон
20675;Пясина;73.78;85.53;0;RU;Пясина;Pyasina;Макарова
20679;Усть-Тарея;73.21;89.71;0;RU;Усть-Тарея;Ust-Tareya;Усть-Тарея
20744;Малые Кармакулы;72.37;52.71;18;RU;Малые Кармакулы;Malye Karmakuly;Малые Кармакулы
20766;Мыс Лескина;72.31;79.56;11;RU;Мыс Лескина;Mys Leskina;Лескино
20856;Моржовая;71.41;67.58;18;RU;Моржовая;Morzhovaya;Мыс Харасавэй
20862;Им. 60 Летия ВЛКСМ;71.96;74.33;21;RU;Им. 60 Летия ВЛКСМ;Im.60 Letiya VLKSM;Монгаталянг
20864;Тамбей;71.5;71.83;10;RU;Тамбей;Tambei;Тамбей
20871;Сопочная Карга;71.87;82.7;4;RU;Сопочная Карга;Sopochnaya Karga;Сопочная Карга
20891;Хатанга;71.97;102.46;31;RU;Хатанга;Khatanga;Хатанга
20946;Им. Е.К.Федорова;70.44;59.09;13;RU;Им. Е.К.Федорова;Im. E.K.Fedorova;Мыс Болванский
20963;Гыда АМС;70.89;78.47;8;RU;Гыда АМС;Gyda AMS;Гыда
20964;Тадебяяха;70.36;74.13;4;RU;Тадебяяха;Tadebyakha;Тадебяяха
20967;Сеяха;70.16;72.51;18;RU;Сеяха;Seyakha;Сеяха
20973;Кресты Таймырские;70.86;89.9;31;RU;Кресты Таймырские;Kresty Taymyrskie;Крести
20978;Караул;70.08;83.16;20;RU;Караул;Karaul;Караул
20982;Волочанка;70.96;94.5;37;RU;Волочанка;Volchanka;Волочанка
21301;Андрея;76.75;110.43;5;RU;Андрея;Andreya;Андрея Остров
21358;О.Жохова;76.15;152.83;16;RU;О.Жохова;O.Zhokhova;Остров Жохова
21432;О.Котельный;76;137.86;11;RU;О.Котельный;Ostrov Kotelny;Остров Котельный
21504;О.Преображения;74.66;112.93;57;RU;О.Преображения;Ostrov Preobrazeniya;Остров Преображения
21611;Мыс Тэрпяй-Тумса;73.55;118.66;9;RU;Мыс Тэрпяй-Тумса;Mys Terpyai-Tumsa;Терпяй-Тумса
21647;Мыс Шалаурова;73.18;143.23;22;RU;Мыс Шалаурова;Mys Shalaurova;Мыс Шалаурова
21701;Урюнг-Хая;72.8;113.3;25;RU;Урюнг-Хая;;Урюнг-Хая
21711;Усть-Оленек;73;119.86;15;RU;Усть-Оленек;Ust-Olenek;Усть-Оленек
21721;Столб;72.4;126.35;20;RU;Столб;Stolb;Столб Остров
21802;Саскылах;71.96;114.08;15;RU;Саскылах;Saskylakh;Саскылах
21824;Бухта Тикси;71.58;128.91;6;RU;Бухта Тикси;Tiksi;Тикси посёлок
21825;О.Муостах;71.55;130.03;5;RU;О.Муостах;O. Muostakh;Моустах Остров
